CPU counts:  24
n=120, tol=120, tries=150, dist_try=0.4, d=3, alpha=[0.33333333 0.33333333 0.33333333]
EYD tableau: [45, 37, 25, 13] with error 0.1833
MLE tableau: [35. 35. 35. 15.] with error 0.125
EYD tableau: [42, 34, 25, 19] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 37, 23, 16] with error 0.175
MLE tableau: [38. 37. 23. 22.] with error 0.125
EYD tableau: [44, 33, 23, 20] with error 0.1417
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 35, 27, 18] with error 0.125
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [43, 32, 25, 20] with error 0.125
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 36, 27, 17] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 34, 27, 19] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 32, 25, 19] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [48, 36, 21, 15] with error 0.2
MLE tableau: [40. 40. 20. 20.] with error 0.1667
EYD tableau: [43, 31, 27, 19] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [45, 38, 22, 15] with error 0.1917
MLE tableau: [39. 39. 21. 21.] with error 0.15
EYD tableau: [42, 34, 26, 18] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 30, 25, 21] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [43, 36, 25, 16] with error 0.1583
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [38, 38, 27, 17] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 35, 28, 17] with error 0.125
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 38, 24, 14] with error 0.1833
MLE tableau: [38. 38. 27. 17.] with error 0.1333
EYD tableau: [38, 33, 27, 22] with error 0.0917
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 36, 25, 17] with error 0.15
MLE tableau: [32. 32. 32. 24.] with error 0.05
EYD tableau: [43, 32, 27, 18] with error 0.125
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [43, 30, 26, 21] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [40, 35, 27, 18] with error 0.125
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [38, 32, 30, 20] with error 0.0833
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 33, 23, 20] with error 0.1417
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [39, 33, 24, 24] with error 0.1
MLE tableau: [30. 30. 30. 30.] with error 0.0
