CPU counts:  24
gradient ascent n=100, tries=300, d=3, alpha=[0.41773767 0.34108138 0.24118095]
MLE tableau: [40.70813774 40.57376677 18.71809549] with error 0.0647
EYD tableau: [46, 36, 18] with error 0.0612
MLE tableau: [40.10813774 39.97376677 19.91809549] with error 0.0587
EYD tableau: [46, 29, 25] with error 0.0511
MLE tableau: [41.17376677 29.50813774 29.31809549] with error 0.052
EYD tableau: [50, 35, 15] with error 0.0912
MLE tableau: [43.97376677 39.70813774 16.31809549] with error 0.078
EYD tableau: [47, 27, 26] with error 0.0711
MLE tableau: [43.17376677 28.50813774 28.31809549] with error 0.056
EYD tableau: [44, 35, 21] with error 0.0312
MLE tableau: [37.70813774 37.57376677 24.71809549] with error 0.0407
EYD tableau: [55, 27, 18] with error 0.1323
MLE tableau: [53.37376677 23.31809549 23.30813774] with error 0.116
EYD tableau: [47, 29, 24] with error 0.0523
MLE tableau: [43.17376677 28.50813774 28.31809549] with error 0.056
EYD tableau: [46, 30, 24] with error 0.0423
MLE tableau: [41.17376677 29.50813774 29.31809549] with error 0.052
EYD tableau: [41, 36, 23] with error 0.0189
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [47, 31, 22] with error 0.0523
MLE tableau: [43.17376677 28.50813774 28.31809549] with error 0.056
EYD tableau: [46, 37, 17] with error 0.0712
MLE tableau: [40.70813774 40.57376677 18.71809549] with error 0.0647
EYD tableau: [51, 32, 17] with error 0.0923
MLE tableau: [48.17376677 32.70813774 19.11809549] with error 0.064
EYD tableau: [42, 31, 27] with error 0.0311
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [42, 35, 23] with error 0.0112
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [45, 38, 17] with error 0.0712
MLE tableau: [40.70813774 40.57376677 18.71809549] with error 0.0647
EYD tableau: [47, 33, 20] with error 0.0523
MLE tableau: [41.17376677 35.70813774 23.11809549] with error 0.016
EYD tableau: [53, 29, 18] with error 0.1123
MLE tableau: [51.17376677 26.30813774 22.51809549] with error 0.094
EYD tableau: [44, 31, 25] with error 0.0311
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [49, 29, 22] with error 0.0723
MLE tableau: [46.17376677 26.91809549 26.90813774] with error 0.0719
EYD tableau: [46, 34, 20] with error 0.0423
MLE tableau: [38.57376677 38.50813774 22.91809549] with error 0.044
EYD tableau: [44, 33, 23] with error 0.0223
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [42, 34, 24] with error 0.0023
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [51, 28, 21] with error 0.0923
MLE tableau: [48.77376677 25.70813774 25.51809549] with error 0.084
EYD tableau: [44, 32, 24] with error 0.0223
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [52, 38, 10] with error 0.1412
MLE tableau: [44.70813774 44.57376677 10.71809549] with error 0.134
EYD tableau: [39, 34, 27] with error 0.0288
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [44, 39, 17] with error 0.0712
MLE tableau: [40.70813774 40.57376677 18.71809549] with error 0.0647
EYD tableau: [45, 36, 19] with error 0.0512
MLE tableau: [39.37376677 39.30813774 21.31809549] with error 0.052
EYD tableau: [47, 28, 25] with error 0.0611
MLE tableau: [43.17376677 28.50813774 28.31809549] with error 0.056
EYD tableau: [48, 27, 25] with error 0.0711
MLE tableau: [44.77376677 27.70813774 27.51809549] with error 0.064
EYD tableau: [42, 32, 26] with error 0.0211
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [39, 36, 25] with error 0.0277
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [44, 31, 25] with error 0.0311
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [47, 36, 17] with error 0.0712
MLE tableau: [40.70813774 40.57376677 18.71809549] with error 0.0647
EYD tableau: [51, 29, 20] with error 0.0923
MLE tableau: [48.77376677 25.70813774 25.51809549] with error 0.084
EYD tableau: [49, 31, 20] with error 0.0723
MLE tableau: [46.17376677 27.90813774 25.91809549] with error 0.062
EYD tableau: [47, 33, 20] with error 0.0523
MLE tableau: [41.17376677 35.70813774 23.11809549] with error 0.016
EYD tableau: [46, 33, 21] with error 0.0423
MLE tableau: [37.70813774 37.57376677 24.71809549] with error 0.0407
EYD tableau: [46, 33, 21] with error 0.0423
MLE tableau: [37.70813774 37.57376677 24.71809549] with error 0.0407
EYD tableau: [49, 30, 21] with error 0.0723
MLE tableau: [46.17376677 26.91809549 26.90813774] with error 0.0719
EYD tableau: [45, 36, 19] with error 0.0512
MLE tableau: [39.37376677 39.30813774 21.31809549] with error 0.052
EYD tableau: [44, 32, 24] with error 0.0223
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [43, 34, 23] with error 0.0123
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [47, 34, 19] with error 0.0523
MLE tableau: [39.37376677 39.30813774 21.31809549] with error 0.052
EYD tableau: [42, 35, 23] with error 0.0112
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [51, 36, 13] with error 0.1112
MLE tableau: [43.77376677 42.30813774 13.91809549] with error 0.102
EYD tableau: [44, 30, 26] with error 0.0411
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [47, 30, 23] with error 0.0523
MLE tableau: [43.17376677 28.50813774 28.31809549] with error 0.056
EYD tableau: [44, 35, 21] with error 0.0312
MLE tableau: [37.70813774 37.57376677 24.71809549] with error 0.0407
EYD tableau: [40, 36, 24] with error 0.0189
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [41, 36, 23] with error 0.0189
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [48, 32, 20] with error 0.0623
MLE tableau: [44.37376677 31.70813774 23.91809549] with error 0.026
EYD tableau: [49, 31, 20] with error 0.0723
MLE tableau: [46.17376677 27.90813774 25.91809549] with error 0.062
EYD tableau: [52, 27, 21] with error 0.1023
MLE tableau: [49.97376677 25.10813774 24.91809549] with error 0.09
EYD tableau: [49, 29, 22] with error 0.0723
MLE tableau: [46.17376677 26.91809549 26.90813774] with error 0.0719
EYD tableau: [44, 37, 19] with error 0.0512
MLE tableau: [39.37376677 39.30813774 21.31809549] with error 0.052
EYD tableau: [46, 32, 22] with error 0.0423
MLE tableau: [41.37376677 29.31809549 29.30813774] with error 0.0519
EYD tableau: [47, 36, 17] with error 0.0712
MLE tableau: [40.70813774 40.57376677 18.71809549] with error 0.0647
EYD tableau: [51, 29, 20] with error 0.0923
MLE tableau: [48.77376677 25.70813774 25.51809549] with error 0.084
EYD tableau: [50, 32, 18] with error 0.0823
MLE tableau: [46.97376677 32.50813774 20.51809549] with error 0.052
EYD tableau: [46, 35, 19] with error 0.0512
MLE tableau: [39.37376677 39.30813774 21.31809549] with error 0.052
EYD tableau: [44, 32, 24] with error 0.0223
MLE tableau: [33.37376677 33.31809549 33.30813774] with error 0.0919
EYD tableau: [52, 32, 16] with error 0.1023
MLE tableau: [49.57376677 32.70813774 17.71809549] with error 0.078
EYD tableau: [46, 29, 25] with error 0.0511
MLE tableau: [41.17376677 29.50813774 29.31809549] with error 0.052
EYD tableau: [52, 28, 20] with error 0.1023
MLE tableau: [49.97376677 25.10813774 24.91809549] with error 0.09
EYD tableau: [49, 31, 20] with error 0.0723
MLE tableau: [46.17376677 27.90813774 25.91809549] with error 0.062
EYD tableau: [45, 30, 25] with error 0.0411
MLE tableau: [37.37376677 31.31809549 31.30813774] with error 0.0719
EYD tableau: [50, 30, 20] with error 0.0823
MLE tableau: [47.57376677 26.30813774 26.11809549] with error 0.078
EYD tableau: [49, 32, 19] with error 0.0723
MLE tableau: [45.77376677 32.30813774 21.91809549] with error 0.04
