CPU counts:  24
n=120, tol=120, tries=150, dist_try=0.5, d=3, alpha=[0.41773767 0.34108138 0.24118095]
MLE tableau: [49. 37. 34.] with error 0.0422
EYD tableau: [54, 40, 26] with error 0.0323
MLE tableau: [45. 45. 30.] with error 0.0427
EYD tableau: [54, 45, 21] with error 0.0662
MLE tableau: [49. 48. 23.] with error 0.0589
EYD tableau: [49, 42, 29] with error 0.0094
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [54, 41, 25] with error 0.0328
MLE tableau: [46. 46. 28.] with error 0.0423
EYD tableau: [51, 45, 24] with error 0.0412
MLE tableau: [47. 46. 27.] with error 0.0423
EYD tableau: [61, 36, 23] with error 0.0906
MLE tableau: [59. 34. 27.] with error 0.0739
EYD tableau: [49, 42, 29] with error 0.0094
MLE tableau: [40. 40. 40.] with error 0.0922
EYD tableau: [56, 36, 28] with error 0.0489
MLE tableau: [52. 34. 34.] with error 0.0577
EYD tableau: [58, 34, 28] with error 0.0656
MLE tableau: [55. 33. 32.] with error 0.0661
EYD tableau: [52, 44, 24] with error 0.0412
MLE tableau: [47. 46. 27.] with error 0.0423
EYD tableau: [65, 33, 22] with error 0.1239
MLE tableau: [63. 29. 28.] with error 0.1073
EYD tableau: [66, 27, 27] with error 0.1323
MLE tableau: [64. 28. 28.] with error 0.1156
summary: d=3 has EYD error 0.05202943010963529 and MLE error 0.06342373482268725 with runtime 7.211397409439087
n=120, tol=120, tries=150, dist_try=0.5, d=4, alpha=[0.32540091 0.28180545 0.23009319 0.16270045]
EYD tableau: [40, 36, 29, 15] with error 0.0377
MLE tableau: [34. 34. 33. 19.] with error 0.0464
EYD tableau: [44, 33, 23, 20] with error 0.0452
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [45, 37, 24, 14] with error 0.0761
MLE tableau: [38. 38. 26. 18.] with error 0.0349
EYD tableau: [47, 39, 21, 13] with error 0.1095
MLE tableau: [42. 41. 19. 18.] with error 0.0845
EYD tableau: [46, 32, 25, 17] with error 0.0579
MLE tableau: [40. 27. 27. 26.] with error 0.0619
EYD tableau: [49, 35, 25, 11] with error 0.0928
MLE tableau: [43. 32. 32. 13.] with error 0.0695
EYD tableau: [47, 31, 29, 13] with error 0.0778
MLE tableau: [35. 35. 35. 15.] with error 0.0714
EYD tableau: [49, 30, 26, 15] with error 0.0829
MLE tableau: [45. 25. 25. 25.] with error 0.0952
EYD tableau: [41, 37, 26, 16] with error 0.0428
MLE tableau: [33. 33. 33. 21.] with error 0.0572
EYD tableau: [40, 35, 29, 16] with error 0.0294
MLE tableau: [33. 33. 33. 21.] with error 0.0572
EYD tableau: [42, 35, 25, 18] with error 0.0345
MLE tableau: [30. 30. 30. 30.] with error 0.1072
EYD tableau: [43, 33, 28, 16] with error 0.0362
MLE tableau: [33. 33. 33. 21.] with error 0.0572
EYD tableau: [44, 34, 29, 13] with error 0.0544
MLE tableau: [35. 35. 35. 15.] with error 0.0714
EYD tableau: [44, 33, 30, 13] with error 0.0612
