CPU counts:  24
n=120, tol=120, tries=150, dist_try=0.5, d=3, alpha=[0.33333333 0.33333333 0.33333333]
EYD tableau: [45, 30, 25, 20] with error 0.125
MLE tableau: [37. 28. 28. 27.] with error 0.0583
EYD tableau: [43, 31, 28, 18] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 35, 21, 20] with error 0.1583
MLE tableau: [35. 35. 25. 25.] with error 0.0833
EYD tableau: [42, 33, 29, 16] with error 0.125
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [43, 36, 25, 16] with error 0.1583
MLE tableau: [33. 33. 33. 21.] with error 0.075
EYD tableau: [42, 35, 26, 17] with error 0.1417
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 34, 27, 17] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [38, 36, 26, 20] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 31, 25, 22] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 36, 27, 15] with error 0.15
MLE tableau: [34. 34. 33. 19.] with error 0.0917
EYD tableau: [45, 34, 26, 15] with error 0.1583
MLE tableau: [34. 34. 33. 19.] with error 0.0917
EYD tableau: [39, 32, 28, 21] with error 0.0917
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [48, 32, 21, 19] with error 0.1667
MLE tableau: [44. 26. 25. 25.] with error 0.1167
EYD tableau: [41, 31, 27, 21] with error 0.1
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [38, 35, 31, 16] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [45, 29, 26, 20] with error 0.125
MLE tableau: [36. 28. 28. 28.] with error 0.05
EYD tableau: [42, 34, 25, 19] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [39, 34, 26, 21] with error 0.1083
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [43, 34, 24, 19] with error 0.1417
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 38, 23, 15] with error 0.1833
MLE tableau: [39. 38. 22. 21.] with error 0.1417
EYD tableau: [40, 35, 26, 19] with error 0.125
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 30, 26, 20] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [44, 32, 25, 19] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 32, 25, 21] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [42, 32, 25, 21] with error 0.1167
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [43, 33, 25, 19] with error 0.1333
MLE tableau: [30. 30. 30. 30.] with error 0.0
EYD tableau: [46, 34, 27, 13] with error 0.1667
MLE tableau: [35. 35. 35. 15.] with error 0.125
EYD tableau: [43, 32, 24, 21] with error 0.125
